block_start,block_end,average_distance
1,8,0.15845789637293545
2,9,0.15144160273554805
3,10,0.14359427787162163
4,11,0.14797011366835586
5,12,0.1595458984375
6,13,0.1611914649024024
7,14,0.16443201013513514
8,15,0.18022856841216217
9,16,0.17565588048986486
10,17,0.18430014487143392
11,18,0.19057815139358109
12,19,0.1870091527073949
13,20,0.18684712544575827
14,21,0.1932006469359985
15,22,0.20188303537912913
16,23,0.2246463993290165
17,24,0.24673049514358109
18,25,0.2521569420983483
19,26,0.25503787478885137
20,27,0.26195262645457956
21,28,0.30357163804429427
22,29,0.2977562523460961
23,30,0.297193189283033
24,31,0.3460631041197447
25,32,0.42787440761073575
